thickness_min,thickness_max,width_min,width_max,length_min,length_max,height_min,height_max,weight_min,weight_max,inner_diameter_min,inner_diameter_max,outer_diameter_min,outer_diameter_max,tensile_mid,yield_mid,elongation_mid,reduction_mid,hardness_mid,coating,finish,form,surface_type,surface_protection,cluster
6.0,6.0,600.0,1520.0,,,,,15000.0,25000.0,610.0,610.0,,,850.0,700.0,12.0,,,,Oiled,Coils,,,2
1.5,1.5,327.0,327.0,,,,,,,,,,,420.0,250.0,19.0,,,ZM310,Hot-dip zinc magnesium (+ZM),Slit Coils,,,0
0.4,0.4,1000.0,1500.0,,,,,,,,,,,385.0,350.0,22.0,,,Z100,Hot-dip Galvanized (+Z/+GI),Coils,,Lightly Oiled (L),0
1.5,1.5,,,4900.0,,4900.0,,53800.0,53800.0,,,60.3,,435.0,235.0,26.0,,,,,Round Tubes,,,0
1.5,1.5,,,6100.0,,6100.0,,14500.0,14500.0,,,48.3,,435.0,235.0,26.0,,,,,Round Tubes,,,0
1.5,1.5,,,6200.0,,6200.0,,34000.0,34000.0,,,20.0,,435.0,235.0,26.0,,,,,Round Tubes,,,0
2.0,2.0,60.0,60.0,9000.0,,9000.0,80.0,,,,,,,385.0,350.0,22.0,,,Z075,Hot-dip Galvanized (+Z/+GI),Rectangular Tubes,,,0
2.0,2.0,60.0,60.0,9000.0,,9000.0,80.0,,,,,,,385.0,350.0,22.0,,,Z080,Hot-dip Galvanized (+Z/+GI),Rectangular Tubes,,,0
2.5,2.5,,,3300.0,,3300.0,,,,,,25.0,,385.0,350.0,22.0,,,,,Round Tubes,,,0
1.5,1.5,35.0,35.0,8000.0,,8000.0,,,,,,,,385.0,350.0,22.0,,,,,Equal Angles,,,0
,,,,,,,,,,,,,,385.0,350.0,22.0,,,Z275,Hot-dip Galvanized (+Z/+GI),Rectangular Tubes,,,0
4.9,5.1,,1520.0,,,,,,25000.0,610.0,610.0,,,490.0,355.0,22.0,,,,,Coils,,Oiled (O),0
4.9,5.1,,1520.0,,,,,,25000.0,610.0,610.0,,,490.0,355.0,22.0,,,,Galvanized,Coils,,Oiled (O),0
1.0,1.0,1250.0,1300.0,,,,,,,,,,,340.0,280.0,28.0,,,ZE25/25,Electro-Galvanized (+ZE),Coils,Conventional surface (A),"Phosphated, chemically passivated and oiled (PCO)",0
7.8,8.1,1270.0,,,,,,,,,,,,490.0,355.0,22.0,,,,,Coils,,,0
8.0,8.0,,,,,,,,,,,,,625.0,500.0,14.0,,,,,Coils,,,2
7.8,8.1,1270.0,,,,,,,,,,,,490.0,355.0,22.0,,,,,Coils,,,0
8.0,8.0,,,,,,,,,,,,,625.0,500.0,14.0,,,,,Coils,,,2
1.8,1.8,,,,,,,20000.0,20000.0,,,,,435.0,235.0,26.0,,,,Black (S1),Coils,,,0
2.75,2.75,,,,,,,80000.0,80000.0,,,,,435.0,235.0,26.0,,,,Black (S1),Coils,,,0
1.8,1.8,,,,,,,120000.0,120000.0,,,,,390.0,220.0,20.0,,,,SuperVitac (SVA),Coils,,,0
2.75,2.75,,,,,,,100000.0,100000.0,,,,,390.0,220.0,20.0,,,,SuperVitac (SVA),Coils,,,0
2.4,2.6,600.0,1520.0,,,,,20000.0,25000.0,610.0,610.0,,,340.0,380.0,28.0,,,,Oiled,Coils,,,0
2.0,2.0,1500.0,1500.0,3000.0,,3000.0,,17000.0,17000.0,,,,,340.0,280.0,28.0,,,,,Sheets,,,0
1.5,1.5,1500.0,1500.0,3000.0,,3000.0,,3000.0,3000.0,,,,,340.0,280.0,28.0,,,,,Sheets,,,0
2.5,2.5,600.0,,,,,,,,,,,,550.0,420.0,23.0,,,,,Coils,,,0
1.0,1.0,1500.0,1500.0,3000.0,,3000.0,,5000.0,5000.0,,,,,340.0,280.0,28.0,,,,,Sheets,,,0
1.5,1.5,,,,,,,,,,,,,340.0,380.0,28.0,,,,,Sheets,,,0
1.5,1.5,,,,,,,,,,,,,435.0,235.0,26.0,,,,,Sheets,,,0
3.5,3.5,,,,,,,,,,,,,435.0,235.0,26.0,,,,,Sheets,,,0
2.0,2.0,,,,,,,,,,,,,310.0,210.0,38.0,,,ZE75/75,Electro-Galvanized (+ZE),Sheets,,,0
0.7,0.7,,,,,,,,40000.0,,,,,340.0,280.0,28.0,,,ZE25/25,Electro-Galvanized (+ZE),Coils,Conventional surface (A),Phosphated and chemically passivated (PC),0
0.7,0.7,,,,,,,,40000.0,,,,,320.0,210.0,34.0,,,ZE25/25,Electro-Galvanized (+ZE),Coils,Conventional surface (A),Phosphated and chemically passivated (PC),0
0.7,0.7,,,,,,,,40000.0,,,,,310.0,210.0,38.0,,,ZE25/25,Electro-Galvanized (+ZE),Coils,Conventional surface (A),Phosphated and chemically passivated (PC),0
3.0,3.0,1500.0,1500.0,,,,,,,,,,,600.0,420.0,19.0,,,,,Coils,,,0
3.0,3.0,1500.0,1500.0,,,,,,,,,,,680.0,500.0,16.0,,,,,Coils,,,0
6.1,6.6,1850.0,1900.0,,,,,25000.0,25000.0,,,,,435.0,235.0,26.0,,,,Normalized (+N),Coils,,Oiled (O),0
1.5,2.0,,,,,,,,,,,,,385.0,350.0,22.0,,,Z100,Hot-dip Galvanized (+Z/+GI),Coils,"Minimized spangle, improved surface (MB)",Oiled (O),0
1.4,1.5,,,,,,,300000.0,300000.0,,,,,385.0,350.0,22.0,,,ZM100,Hot-dip zinc magnesium (+ZM),Coils,,,0
0.8,0.8,1250.0,1250.0,,,,,,,,,,,340.0,280.0,28.0,,,ZV25/25,JVD Galvanized (+ZV),Coils,,,0
0.8,0.8,1250.0,1250.0,,,,,,,,,,,340.0,280.0,28.0,,,ZE25/25,Electro-Galvanized (+ZE),Coils,,,0
1.5,1.5,,,,,,,20000.0,20000.0,,,,,465.0,320.0,17.0,,,Z275,Hot-dip Galvanized (+Z/+GI),Coils,"Minimized spangle, conventional surface (MA)",Chemically passivated (C),0
12.0,12.0,1500.0,1500.0,,,,,50000.0,50000.0,,,,,550.0,420.0,19.0,,,,Hot Rolled,Plates,,,0
3.0,3.0,200.0,1520.0,,,,,,25000.0,610.0,610.0,,,490.0,355.0,22.0,,,,Hot Rolled,Coils,,Pickled and Oiled,0
1.4,1.5,,,,,,,300000.0,300000.0,,,,,390.0,220.0,20.0,,,ZM100,Hot-dip zinc magnesium (+ZM),Coils,,,0
,,,1520.0,,,,,,25000.0,610.0,610.0,,,550.0,355.0,22.0,,,,,Coils,,O,0
,,,1520.0,,,,,6000.0,25000.0,610.0,610.0,,,340.0,380.0,28.0,,,,Oiled,Coils,,,0
,,,1520.0,,,,,6000.0,25000.0,610.0,610.0,,,340.0,380.0,28.0,,,,Oiled,Coils,,Oiled (O),0
0.37,0.4,,,,,,,,,,,,,,,,,,,Galvanized,Sheets,,,0
0.37,0.4,,,,,,,,,,,,,,,,,,,Prepainted (PPGI),Sheets,,,0
1.2,1.2,,1520.0,,,,,20000.0,25000.0,610.0,610.0,,,310.0,210.0,38.0,,,,Cold Rolled,Coils,,Lightly Oiled (L),0
5.0,5.0,,1520.0,,,,,,25000.0,610.0,610.0,,,735.0,600.0,13.0,,,,Oiled,Coils,,,2
15.0,15.0,2500.0,2500.0,6000.0,,6000.0,,24000.0,24000.0,,,,,550.0,355.0,22.0,,,,,Plates,,,0
15.0,15.0,1500.0,1500.0,3000.0,,3000.0,,24000.0,24000.0,,,,,435.0,235.0,26.0,,,,,Plates,,,0
15.0,15.0,1500.0,1500.0,3000.0,,3000.0,,24000.0,24000.0,,,,,550.0,355.0,22.0,,,,,Plates,,,0
2.0,2.05,,1520.0,,,,,,25000.0,610.0,610.0,,,490.0,355.0,22.0,,,,,Coils,,Oiled (O),0
,,,,,,,,,,610.0,610.0,,,600.0,420.0,19.0,,,,Oiled,,,,0
,,,,,,,,,,610.0,610.0,,,630.0,460.0,17.0,,,,Oiled,,,,2
,,,1520.0,,,,,,25000.0,,,,,,,,,,,,Coils,,,0
,,,,,,,,,,,,,,,,,,,,,Round Bars,,,0
5.89,6.11,610.0,610.0,,,,,5000.0,25000.0,,,,,625.0,500.0,14.0,,,,,Strips,Non-specified,Oiled (O),2
2.5,2.5,610.0,1520.0,,,,,,25000.0,,,,,850.0,700.0,12.0,,,,Oiled,Coils,,,2
8.0,8.0,1400.0,1500.0,,,,,150000.0,,,,,,550.0,355.0,22.0,,,,+N,Coils,,,0
8.0,8.0,1500.0,1600.0,,,,,90000.0,,,,,,550.0,355.0,22.0,,,,+N,Coils,,,0
2.8,2.8,600.0,1520.0,,,,,15000.0,25000.0,,,,,735.0,600.0,13.0,,,,Hot Rolled,Coils,,Oiled (O),2
2.4,2.4,,,,,,,,,,,,,,,,,,,Hot Rolled,,,,0
1.5,1.5,1000.0,1000.0,,,,,,24000.0,,,,,385.0,350.0,22.0,,,AS050,Aluminized (+AS/+AL),Coils,,,0
1.4,1.4,1065.0,1065.0,,,,,15000.0,20000.0,,,,,595.0,460.0,21.0,,,GI60/60,Hot-dip Galvanized (+Z/+GI),Coils,,,0
2.0,2.0,1500.0,,,,,,,,,,,,385.0,350.0,22.0,,,AS120,Aluminized (+AS/+AL),Coils,Conventional surface (A),Chemically passivated and oiled (CO),0
4.0,4.06,,1520.0,,,,,,25000.0,610.0,610.0,,,340.0,280.0,28.0,,,,Cold Rolled,Coils,,Lightly Oiled (L),0
15.0,15.0,1500.0,1500.0,3000.0,,3000.0,,,24000.0,,,,,435.0,235.0,26.0,,,,Hot Rolled,Plates,,,0
1.0,1.0,1404.0,1404.0,,,,,24000.0,24000.0,,,,,385.0,350.0,22.0,,,AZ150,Aluzinc (+AZ),Coils,,,0
4.2,4.2,1842.0,1845.0,,,,,,21000.0,,,,,340.0,380.0,28.0,,,,Hot Rolled,Coils,,Pickled and Oiled,0
5.0,5.0,1250.0,1520.0,,,,,15000.0,25000.0,610.0,,,,625.0,500.0,14.0,,,,Hot Rolled,Coils,,,2
1.4,1.4,1065.0,1065.0,,,,,15000.0,20000.0,,,,,550.0,420.0,21.0,,,GI60/60,Hot-dip Galvanized (+Z/+GI),Coils,,,0
3.5,3.5,,,,,,,,,,,,,680.0,550.0,12.0,,,ZM310,Hot-dip zinc magnesium (+ZM),Coils,"Minimized spangle, improved surface (MA)",Chemically passivated (C),2
0.8,0.8,1250.0,1250.0,,,,,,,,,,,340.0,280.0,28.0,,,ZV25/25,JVD Galvanized (+ZV),Coils,,,0
0.8,0.8,1250.0,1250.0,,,,,,,,,,,340.0,280.0,28.0,,,ZE25/25,Electro-Galvanized (+ZE),Coils,,,0
3.94,4.06,,1520.0,,,,,,10000.0,610.0,610.0,,,340.0,280.0,28.0,,,,Cold Rolled (+CR),Coils,,Oiled (O),0
1.5,1.5,,1520.0,,,,,,25000.0,610.0,610.0,,,625.0,500.0,14.0,,,,,Coils,,,2
3.5,3.5,,,,,,,,,,,,,680.0,550.0,12.0,,,Z275,Hot-dip Galvanized (+Z),Coils,"Minimized spangle, improved surface (MA)",Chemically passivated (C),2
3.5,3.65,,1520.0,,,,,,25000.0,610.0,610.0,,,340.0,380.0,28.0,,,,Stained,Coils,Oiled (O),,0
3.0,3.0,,1520.0,,,,,20000.0,25000.0,610.0,610.0,,,385.0,350.0,22.0,,,Z275,Hot-dip Galvanized (+Z/+GI),Coils,,,0
,,610.0,610.0,,,,,,25000.0,,,,,435.0,235.0,26.0,,,,Oiled,,,,0
,,610.0,610.0,,,,,,,,,,,435.0,235.0,26.0,,,,Oiled,,,,0
,,,1520.0,,,,,,25000.0,,,,,,,,,,,,Coils,,,0
2.85,3.0,,1520.0,,,,,,25000.0,610.0,610.0,,,435.0,235.0,26.0,,,,Oiled,Coils,,,0
